first_name,last_name,job_title,dob,email,phone,salary,department_id
Randy,Rodriguez,Environmental consultant,1980-07-16,nathanrosales@example.net,(202)619-7261,478956.0,2
Jennifer,Keller,Gaffer,1998-04-21,wholden@example.com,+1-530-295-2170x502,261450.0,2
Gina,Mcconnell,Armed forces technical officer,1987-08-27,tristan51@example.net,+1-861-912-3254x653,933222.0,2
Dennis,Yang,Operations geologist,1988-06-23,thomascampbell@example.org,406-942-9200x72643,729304.0,2
Heather,Bautista,"Journalist, newspaper",1975-10-16,jordanronald@example.org,853-816-1077,62457.0,2
Peter,Wade,Insurance account manager,1994-09-02,patrickmorgan@example.org,414.785.5265x93591,767759.0,2
Tonya,Copeland,"Engineer, water",1987-07-19,loganray@example.net,7189657723,643335.0,2
Andrea,Barnes,Visual merchandiser,1973-08-16,lorisimmons@example.org,001-984-390-7345x900,963528.0,2
Benjamin,Taylor,Advice worker,1973-12-23,jonesjonathan@example.net,691-322-4869,168747.0,2
Samantha,Gibson,Graphic designer,1973-12-15,dnelson@example.net,(389)506-5991,275564.0,2
Candace,Mcmahon,Quality manager,1965-11-08,emily94@example.com,968-327-6658x985,894610.0,2
Patrick,Fisher,Transport planner,1990-06-04,andrewramos@example.com,+1-950-675-8644x43516,300083.0,2
Kristen,Barnett,Air broker,1975-02-10,jasmine53@example.com,736.627.1194x273,292728.0,2
Ryan,Daniel,Operational researcher,1971-10-11,lsanchez@example.org,7338769114,925932.0,2
David,Hoover,Civil Service fast streamer,1981-09-10,tylerstokes@example.org,7392198873,852150.0,2
Maria,Martinez,Water engineer,1982-12-28,rebecca44@example.net,+1-311-613-3491,998389.0,2
Linda,Brooks,Environmental education officer,1966-10-21,victoria83@example.com,388-977-5204x955,790197.0,2
Aaron,Patel,Associate Professor,1966-10-28,jordan14@example.com,+1-476-670-4183x5353,645403.0,2
Connie,Maxwell,Technical author,1993-09-14,petersenscott@example.net,328-732-3182,922181.0,2
Brett,Travis,Data scientist,1977-01-23,fclark@example.com,(333)427-0031,414022.0,2
Marcus,Velazquez,"Psychotherapist, child",1969-09-05,james53@example.com,400.548.7452,878309.0,2
Kristen,Miller,Oncologist,1977-05-08,colleenkaiser@example.net,+1-632-230-1102x60075,824739.0,2
Amy,Howard,Chief Marketing Officer,1998-12-20,lisa60@example.org,(638)670-4563,146907.0,2
Alison,Stevens,Market researcher,1991-09-08,slewis@example.net,+1-636-943-1201,657947.0,2
