first_name,last_name,job_title,dob,email,phone,salary,department_id
Steven,Johnson,Writer,2000-01-04,trujilloaaron@example.com,734-476-6520x067,776495.0,2
Patrick,Marsh,Special educational needs teacher,2000-02-12,amyhancock@example.org,(932)890-6038x7394,539686.0,2
Calvin,Ross,Biomedical engineer,1992-07-07,randyhaynes@example.net,591-953-1061,231162.0,2
Michael,Thomas,"Therapist, drama",1989-10-17,obrown@example.org,632-752-4578x197,190617.0,2
Jack,Newman,Management consultant,1968-02-04,pagemark@example.net,001-529-237-6715x59689,123930.0,2
Bryan,Bush,"Engineer, technical sales",1978-05-12,georgejulie@example.net,233-335-9700,681807.0,2
Caleb,Garcia,Nature conservation officer,1970-05-01,mitchellcrystal@example.org,+1-474-795-7485x523,782398.0,2
Antonio,Marks,Animal nutritionist,1972-02-23,pwashington@example.net,+1-362-569-1328x7390,523815.0,2
Amy,Lawrence,Financial manager,1975-09-16,sarahduke@example.com,695-428-9817x67150,429018.0,2
Jeremy,Taylor,"Engineer, building services",1999-08-28,adammcknight@example.net,001-450-504-1025x9837,987593.0,2
Ashley,Little,Social worker,1986-07-22,ucain@example.org,238.792.9785,79701.0,2
Dawn,Lawson,Homeopath,2001-11-16,brianallison@example.org,306.876.1963,29368.0,2
Samantha,Burns,Veterinary surgeon,1985-10-07,mirandashane@example.net,6705705026,360370.0,2
Heather,Ritter,Forensic scientist,1976-08-08,megan40@example.com,+1-625-927-0853,496428.0,2
Christopher,Martin,Psychiatric nurse,1976-09-10,dhernandez@example.net,439-504-9229x20466,41007.0,2
Steve,Price,Chiropodist,1970-02-17,ylong@example.com,+1-752-223-7251x10044,582726.0,2
Nancy,King,"Loss adjuster, chartered",1964-06-25,nicholscarl@example.org,5245202567,625821.0,2
Lauren,Cortez,Newspaper journalist,1963-09-20,kristen06@example.com,001-651-981-9082x65431,171550.0,2
Jessica,Moore,Estate agent,1968-04-15,vcraig@example.org,(516)336-3803x379,825702.0,2
Bradley,Cobb,Animal nutritionist,2001-12-08,adamcisneros@example.com,693-633-3994,573625.0,2
Tracy,Johnson,Media planner,1976-02-10,usanders@example.com,839.662.2794,117285.0,2
Brandon,Cunningham,"Teacher, English as a foreign language",1992-01-26,ycruz@example.com,2704245153,885838.0,2
Nathan,Conner,Information systems manager,1981-02-03,dylanjones@example.org,6263445687,925118.0,2
Amy,Burns,Drilling engineer,1998-04-22,trujillokevin@example.net,611-415-5699x9944,868055.0,2
Amber,Young,Manufacturing engineer,1975-11-14,greg34@example.com,+1-584-607-8373x697,810235.0,2
Haley,Wilson,Printmaker,1979-09-11,whitejill@example.com,+1-520-901-0981,459805.0,2
Michael,Delacruz,"Loss adjuster, chartered",1970-08-22,hwashington@example.org,472-930-0053,370547.0,2
Kari,Hicks,IT trainer,1969-11-02,hernandezsusan@example.net,(928)214-6939,437488.0,2
Dennis,Gray,"Research officer, political party",1975-10-13,bartlettcaitlin@example.com,(680)865-8690x330,297789.0,2
Madeline,Hall,Counsellor,1985-10-07,russell10@example.org,379.837.1178,809184.0,2
Tina,Taylor,Phytotherapist,1994-06-26,thomas90@example.net,+1-309-773-6300x0289,130457.0,2
Larry,Butler,Geophysical data processor,1994-06-02,efranklin@example.org,001-565-218-9061x1885,907341.0,2
Samantha,Martin,"Engineer, aeronautical",1971-03-03,david93@example.com,001-582-582-5959x583,630769.0,2
Donald,Mcguire,Dance movement psychotherapist,1998-11-01,wking@example.org,307-888-0862,219857.0,2
Ryan,Rodriguez,Occupational psychologist,1966-02-01,christina51@example.net,(638)269-6036,702073.0,2
Natasha,Campbell,"Loss adjuster, chartered",1970-08-12,dylangreene@example.net,001-388-827-2993x632,239312.0,2
Scott,Malone,"Designer, television/film set",1996-05-23,jordankari@example.com,+1-618-918-1228,171281.0,2
Michael,Hernandez,Technical sales engineer,1992-04-09,hdelgado@example.com,9338971549,965689.0,2
Richard,Duncan,Editorial assistant,1968-11-12,burchchad@example.org,575.628.7263x14612,375488.0,2
