first_name,last_name,job_title,dob,email,phone,salary,department_id
Nathan,Brown,Museum/gallery conservator,1973-05-13,oestrada@example.com,481-583-8472x90801,204830.0,2
Brenda,Smith,Textile designer,1973-11-28,john69@example.com,458-579-6924,61251.0,2
Elizabeth,Swanson,Senior tax professional/tax inspector,1974-11-27,jamescoleman@example.org,238-885-1975x6854,958870.0,2
Leslie,Stone,Hotel manager,1969-08-21,eric80@example.com,9417359846,978135.0,2
Erik,Thompson,Newspaper journalist,1963-04-12,owensbrian@example.com,+1-463-657-4609x601,806838.0,2
Bruce,Goodman,Nature conservation officer,1988-11-06,christina34@example.org,(875)406-3801x5003,107322.0,2
Stephen,Reyes,"Geologist, engineering",1965-02-26,xpowers@example.com,826.745.2409,253040.0,2
James,Reynolds,Cytogeneticist,1965-05-27,rneal@example.com,(206)224-7891,658800.0,2
Debra,Barnes,Corporate investment banker,1988-04-16,umendoza@example.org,220.429.8954x3936,433224.0,2
Aaron,Marsh,Geochemist,1989-04-29,mvasquez@example.org,749-567-2674,771830.0,2
Trevor,Adams,Chief Technology Officer,1996-09-09,jill17@example.com,222.875.0938,260464.0,2
Craig,Davis,"Programmer, multimedia",2001-10-08,gabrielacolon@example.net,001-321-886-6172x450,923801.0,2
Kimberly,Alexander,Operational researcher,1995-02-28,ucarter@example.com,001-326-380-0592x19221,748300.0,2
Elizabeth,Hurley,Architect,1981-05-23,kelly01@example.org,(733)313-1161,756346.0,2
Felicia,Lowe,Armed forces training and education officer,1971-09-30,rramirez@example.net,+1-614-673-0410,491942.0,2
Ethan,Harrison,"Sales professional, IT",1967-05-29,xcase@example.net,(715)597-1664x3953,877404.0,2
Tiffany,Mitchell,"Psychologist, prison and probation services",1991-07-06,randy89@example.org,736-981-0900x64029,861118.0,2
Destiny,Lyons,Fisheries officer,1993-08-27,lopezalexander@example.net,+1-908-584-7115x792,595507.0,2
Nicholas,Williamson,"Editor, magazine features",1970-11-14,ajohnson@example.net,693.691.6751x613,452189.0,2
Cynthia,Gaines,Newspaper journalist,1984-11-06,alyssajohnson@example.org,263-467-8306x8866,847796.0,2
Tammy,Espinoza,Product designer,1987-10-16,mgriffin@example.org,452.734.5937,902172.0,2
Bradley,Hartman,"Runner, broadcasting/film/video",1966-07-06,hughesashley@example.com,478.296.7236x176,559106.0,2
Caitlin,Hartman,Advertising art director,1979-10-28,tflores@example.net,5528993160,335784.0,2
Daniel,Davis,"Engineer, petroleum",1998-12-04,francisco55@example.org,+1-617-876-7750x577,984128.0,2
George,Levy,Public relations officer,1992-02-20,fergusoncolin@example.net,+1-939-849-9831x7577,492432.0,2
Benjamin,Cuevas,Claims inspector/assessor,1997-03-17,swaters@example.net,(288)514-9691x058,263263.0,2
Timothy,Morris,"Horticulturist, commercial",1967-06-20,allen09@example.org,001-845-803-2895x020,443950.0,2
John,Carpenter,"Engineer, biomedical",1977-05-16,nicholaslee@example.net,001-823-450-8712x65177,190314.0,2
Lori,Holden,"Radiographer, diagnostic",1990-09-12,zavila@example.net,535.439.9711x3880,335239.0,2
Joseph,Collins,Cabin crew,1975-02-01,monica98@example.org,899.643.6160x202,984085.0,2
Gina,Hendrix,"Designer, multimedia",1966-04-16,orozcopaul@example.com,(263)606-0046x6353,858389.0,2
