first_name,last_name,job_title,dob,email,phone,salary,department_id
Gregory,Lopez,Sports coach,1972-02-05,xdalton@example.net,(899)705-9148x17659,962555.0,2
Henry,Johnson,Site engineer,1982-04-07,jacksoncurtis@example.com,+1-326-455-9645x4193,468578.0,2
April,Garcia,"Education officer, community",1989-11-21,taylorsamuel@example.net,001-516-869-2904x94000,751159.0,2
Jennifer,Huff,Geophysicist/field seismologist,1997-01-09,jasonblair@example.org,(537)211-5721x7168,700850.0,2
Thomas,Bartlett,"Chemist, analytical",2000-09-30,fergusonapril@example.net,890-227-2412x88952,935303.0,2
Ryan,Ortega,Environmental education officer,1999-07-06,jonathanjarvis@example.org,865-941-3456,867706.0,2
David,Caldwell,Hydrogeologist,1973-04-03,egeorge@example.net,248-822-2355x63823,540148.0,2
Eric,Nelson,Soil scientist,1969-11-04,alan33@example.net,3518435670,294796.0,2
Michael,Chambers,"Teacher, music",1989-01-02,patricia45@example.org,001-277-280-1256x8104,968094.0,2
Deborah,Davis,Hydrologist,1984-08-27,julie23@example.com,808-368-3790x326,506358.0,2
Jennifer,Harris,Hydrologist,1967-11-21,barbara39@example.net,001-417-394-9544x68545,912398.0,2
Wendy,Richards,"Pharmacist, community",1989-08-25,sarah56@example.net,(405)652-9529x98392,357622.0,2
Timothy,Bass,Biomedical engineer,1996-12-01,vmcmillan@example.com,+1-611-857-9421,238042.0,2
Luke,Mcclure,"Surveyor, mining",1966-03-21,evelyn99@example.org,001-291-218-6072x03049,843531.0,2
Matthew,Boone,Retail buyer,1992-01-09,drew72@example.org,001-648-606-0379,343821.0,2
Brittany,Larsen,Medical illustrator,1990-03-10,mitchellcharles@example.net,579-414-2847,971638.0,2
Jeffrey,Dalton,"Lecturer, higher education",1989-12-29,hansonlisa@example.net,9155380548,426826.0,2
Maria,Ferguson,"Programmer, systems",1964-09-04,shaunkline@example.net,(559)780-8096,267767.0,2
Franklin,Jordan,Stage manager,1980-02-03,bishopjennifer@example.org,(787)675-4197,655607.0,2
William,Zamora,Soil scientist,1983-11-20,tiffany32@example.net,557.763.9652x982,483982.0,2
Mark,Fox,Public affairs consultant,1976-02-06,christopher23@example.net,+1-993-401-5289x7431,366855.0,2
Louis,Jones,Television camera operator,1979-01-23,diazgary@example.com,876-758-9845x86340,497739.0,2
Robert,Duncan,Information officer,1986-05-25,fhood@example.com,(781)613-9010x8033,985281.0,2
Scott,Ray,Armed forces technical officer,1985-12-21,cheryl98@example.com,976.868.9829x591,360858.0,2
Christine,Hines,Soil scientist,1979-04-25,cbaker@example.net,701.848.2536,402573.0,2
Amber,Acevedo,Chartered accountant,1984-06-18,nataliewilliams@example.org,5492360133,668838.0,2
Matthew,Robinson,Occupational therapist,1988-03-30,cmejia@example.org,2657395424,50296.0,2
Julie,Gonzalez,"Journalist, magazine",1986-04-19,dburke@example.org,+1-740-898-5322x59601,644198.0,2
Leah,Walker,Economist,1969-05-10,vjordan@example.com,732.997.8636,947870.0,2
