first_name,last_name,job_title,dob,email,phone,salary,department_id
Benjamin,Valenzuela,Clinical research associate,1986-08-02,jordansandra@example.net,674.985.7662x1770,684965.0,2
Holly,Haynes,Futures trader,1965-05-20,deborah20@example.org,538.558.2739x0173,188003.0,2
Cassandra,James,Government social research officer,1982-01-10,james76@example.com,225-273-0368x367,771306.0,2
Carlos,Lucas,Legal executive,1998-01-17,jamesshepard@example.com,(336)446-9512x68475,524114.0,2
Jodi,Schultz,Building surveyor,1999-04-15,stevenjohnson@example.org,269-649-9431x64142,142342.0,2
Darius,Craig,Geochemist,1986-06-07,daviddiaz@example.net,579.331.5110x531,880470.0,2
Amanda,Morse,Air broker,1974-06-16,jerry25@example.com,803.913.9348x0630,59919.0,2
Jeremiah,Wilson,Dancer,1993-08-16,jennifercosta@example.com,628.773.7842x57913,714601.0,2
Brett,Jenkins,Nature conservation officer,1970-08-20,vmiller@example.org,(834)502-4296x3215,415317.0,2
Stephanie,Smith,"Engineer, manufacturing systems",1977-07-27,stacywhite@example.net,+1-620-806-2680x62570,100346.0,2
Jasmine,Martinez,Company secretary,1988-12-21,freeves@example.org,3668486243,411019.0,2
Christopher,Fuller,Patent attorney,1988-08-06,hayesjose@example.com,001-889-662-9414,150466.0,2
Jacob,Smith,Planning and development surveyor,1984-09-28,yclark@example.com,526-688-2969,520073.0,2
Martha,Moreno,Quantity surveyor,1969-09-15,herringmichael@example.org,269.339.3646,950335.0,2
Michelle,Ramirez,Adult guidance worker,1981-10-31,brian13@example.com,556-598-9495,955657.0,2
Michael,Mitchell,Ergonomist,1984-08-30,christopher47@example.net,(408)892-6633x426,76242.0,2
Mike,Hughes,Surgeon,1967-04-08,pollardtara@example.com,357-937-9943,753064.0,2
Ryan,Rogers,"Engineer, materials",1980-01-23,georgesharon@example.net,(224)493-7662x8216,262159.0,2
Jason,Turner,"Librarian, public",1980-01-24,rgregory@example.com,436.904.4787x4937,423722.0,2
Mark,Harding,Social worker,1991-09-08,mclark@example.net,475-301-5621x57840,91895.0,2
Victoria,French,"Geologist, wellsite",2001-03-06,lowelarry@example.com,+1-693-817-8822x74882,709459.0,2
Penny,Martinez,Human resources officer,1980-03-09,brittany65@example.com,+1-231-909-3370x168,230897.0,2
