first_name,last_name,job_title,dob,email,phone,salary,department_id
Jason,Robles,"Sound technician, broadcasting/film/video",1967-03-21,jessicathomas@example.com,001-872-480-5161,447336.0,2
Courtney,Daniel,Careers adviser,1994-11-14,gmurray@example.org,(415)357-1570x5493,514742.0,2
Matthew,Yu,Purchasing manager,1977-10-06,maureen78@example.net,883-651-8526x782,805929.0,2
Dillon,Burnett,Astronomer,1990-04-12,adamnelson@example.com,387-457-3585x729,859419.0,2
Dale,Bell,Forensic psychologist,1999-01-17,palmerkelly@example.com,001-792-848-4365x666,252457.0,2
Wanda,Roach,Landscape architect,1996-11-10,jacobschristopher@example.net,(613)433-7465,614608.0,2
Hannah,Cooper,General practice doctor,1990-04-23,maryphillips@example.net,8974461319,73741.0,2
Nicole,Wright,Consulting civil engineer,1993-11-24,mikerodriguez@example.net,001-289-756-3776x019,791125.0,2
Gina,Thompson,Company secretary,1982-05-23,deborah00@example.com,930-638-6944,397022.0,2
John,Lee,Training and development officer,1976-08-23,lovecody@example.net,001-920-308-6591,430565.0,2
Jared,Anderson,Chartered accountant,1973-05-01,pachecorobin@example.net,(483)305-8715x866,81667.0,2
Christine,Bradford,Physiotherapist,1995-04-01,ashley82@example.com,861.660.0550x51128,543867.0,2
Tammy,Odonnell,Ceramics designer,1992-05-16,andrew84@example.com,873-371-8669x19146,270383.0,2
Jorge,Brown,Careers adviser,1996-01-27,wongsarah@example.com,+1-309-288-3776x03152,381994.0,2
Amanda,Garcia,Product/process development scientist,1977-07-19,ortizsherry@example.org,(936)951-5935x401,308189.0,2
Brett,Hughes,Equities trader,1997-06-24,williamsjohn@example.net,(716)718-5481x3786,594121.0,2
Kyle,Hawkins,"Scientist, clinical (histocompatibility and immunogenetics)",1998-12-30,mowen@example.org,862.910.8722,838421.0,2
Alexis,Graham,Social researcher,1984-01-03,mgarrett@example.net,929-443-0110,409688.0,2
Madeline,Sosa,Oncologist,2000-02-08,deborah63@example.com,6692549280,831707.0,2
Monica,Perez,Proofreader,1987-08-14,pkramer@example.net,526-360-1777,747140.0,2
Michael,Martin,"Solicitor, Scotland",1975-02-22,rachel43@example.com,(376)961-3545x4913,522449.0,2
James,Flores,Drilling engineer,1995-06-13,angelanoble@example.org,303.939.7001x5762,856989.0,2
Jeffrey,Gordon,Data scientist,1996-08-27,qcross@example.org,861-816-0089,198115.0,2
Daniel,Blackburn,"Editor, magazine features",1970-04-28,browntamara@example.org,346.763.7003,108161.0,2
Richard,Campbell,Legal secretary,1974-04-21,kennethcuevas@example.net,+1-266-470-6701,376465.0,2
James,Hancock,Hotel manager,1997-12-21,wesleymcgee@example.net,+1-790-256-8750x9067,832420.0,2
Maria,Garcia,Industrial buyer,1993-08-06,james24@example.com,001-256-834-3521x1237,260709.0,2
Arthur,Miller,Engineering geologist,1963-08-20,elizabeth55@example.com,741.786.1557,389445.0,2
Jacqueline,Williams,"Journalist, magazine",1994-05-12,emilymartinez@example.com,608.755.4779x854,811012.0,2
Cynthia,Villa,"Teacher, adult education",1981-04-08,guzmanjames@example.com,640-227-3100,406692.0,2
Robert,Smith,Corporate treasurer,1963-03-28,jonestara@example.com,001-872-872-1663x48580,736755.0,2
Whitney,Bright,"Engineer, communications",1993-01-21,herickson@example.org,001-436-597-0200x470,338404.0,2
Thomas,Harrison,Energy engineer,1999-06-19,hernandezdanielle@example.com,3624682270,459506.0,2
Levi,Woods,Sports coach,1972-08-13,evanskyle@example.org,(958)433-7781,154296.0,2
Thomas,Cline,"Designer, interior/spatial",2001-11-19,michaelsmith@example.net,001-288-238-7345x2324,890585.0,2
Denise,Mora,Food technologist,1974-12-03,lisagraham@example.org,(738)773-4193x45635,88026.0,2
Faith,Peterson,Product manager,1998-06-09,millervanessa@example.com,687-436-9467x288,885919.0,2
Ryan,Taylor,Teaching laboratory technician,1963-06-17,turnerbrian@example.org,001-426-814-6053x59991,821090.0,2
Gary,Kirby,"Teacher, special educational needs",1969-12-10,vasquezscott@example.org,955-929-5864,79339.0,2
David,Watson,Accommodation manager,1980-12-19,smithbradley@example.net,+1-618-551-8232,918712.0,2
Alex,Thomas,Phytotherapist,1991-06-30,angelagonzalez@example.org,939.716.5850,573672.0,2
